url,success,stripe_detected,stripe_code,error_code
https://www.abortionfacts.com/facts/3,True,False,,
https://herlifecenter.com/blog/,True,False,,
https://www.abortionfacts.com/facts/2,True,False,,
https://www.abortionfacts.com/facts/1,True,False,,
https://www.abortionfacts.com/contact,True,False,,
https://www.abortionfacts.com/manifesto,True,False,,
https://www.abortionfacts.com/get-involved,True,False,,
https://www.abortionfacts.com/get-help,True,False,,
https://www.abortionfacts.com/,True,False,,
https://divviup.org/,True,False,,
https://www.abetterinternet.org/post/growing-support/,True,False,,
https://herlifecenter.com/faq/,True,False,,
https://www.abetterinternet.org/post/introducing-general-counsel/,True,False,,
https://www.abetterinternet.org/post/replacing-ocsp-with-crls/,True,False,,
https://www.abetterinternet.org/donate/,True,False,,
https://www.abetterinternet.org/getinvolved/,True,False,,
https://www.abetterinternet.org/sponsor/,True,False,,
https://www.abetterinternet.org/sponsors/,True,False,,
https://www.abetterinternet.org/blog/,True,False,,
https://www.abetterinternet.org/radiantaward/,True,False,,
https://www.abetterinternet.org/tenth-anniversary/,True,False,,
https://www.abetterinternet.org/annual-reports/,True,False,,
https://www.abetterinternet.org/contact/,True,False,,
https://www.abetterinternet.org/careers/,True,False,,
https://herlifecenter.com/student/,True,False,,
https://www.abetterinternet.org/,True,False,,
https://www.abetterinternet.org/about/,True,False,,
https://www.abetterinternet.org/policies/,True,False,,
https://abolitionistlawcenter.org/2024/09/16/women-inside-philly-jail-banged-on-cells-for-hours-before-amanda-cahill-died-reiterating-her-calls-for-help/,True,False,,
https://abolitionistlawcenter.org/2024/09/17/man-becomes-second-death-in-a-week-inside-philly-jails/,True,False,,
https://herlifecenter.com/for-men/,True,False,,
https://abolitionistlawcenter.org/topics/wrongful-death/,True,False,,
https://abolitionistlawcenter.org/topics/wrongful-conviction/,True,False,,
https://herlifecenter.com/your-options/parenting/,True,False,,
https://abolitionistlawcenter.org/topics/warrantless-search-and-seizure/,True,False,,
https://herlifecenter.com/your-options/adoption/,True,False,,
https://herlifecenter.com/your-options/abortion/,True,False,,
https://herlifecenter.com/your-options/,True,False,,
https://abolitionistlawcenter.org/topics/warden-harper/,True,False,,
https://herlifecenter.com/services/with-you-counseling/,True,False,,
https://herlifecenter.com/services/sexual-risk-avoidance/,True,False,,
https://herlifecenter.com/services/parenting-education/,True,False,,
https://herlifecenter.com/services/pregnancy-testing/,True,False,,
https://abolitionistlawcenter.org/topics/voting-rights/,True,False,,
https://herlifecenter.com/pregnant/,True,False,,
https://herlifecenter.com/services/,True,False,,
https://herlifecenter.com/contact/,True,False,,
https://abolitionistlawcenter.org/topics/united-nations/,True,False,,
https://abolitionistlawcenter.org/topics/transformative-justice/,True,False,,
https://abolitionistlawcenter.org/topics/traffic-stops/,True,False,,
https://abolitionistlawcenter.org/topics/toxic-prison-conditions/,True,False,,
https://abolitionistlawcenter.org/topics/survivor-justice-network/,True,False,,
https://abolitionistlawcenter.org/topics/supervision/,True,False,,
https://abolitionistlawcenter.org/topics/strip-search/,True,False,,
https://abolitionistlawcenter.org/topics/stgmu/,True,False,,
https://abolitionistlawcenter.org/topics/solitary-confinement/,True,False,,
https://abolitionistlawcenter.org/topics/silencing-act/,True,False,,
https://abolitionistlawcenter.org/topics/shawn-bridges/,True,False,,
https://abolitionistlawcenter.org/topics/sentencing/,True,False,,
https://abolitionistlawcenter.org/topics/sci-fayette/,True,False,,
https://abolitionistlawcenter.org/topics/russell-maroon-shoatz/,True,False,,
https://abolitionistlawcenter.org/topics/robert-saleem-holbrook/,True,False,,
https://abolitionistlawcenter.org/topics/restraint-chair/,True,False,,
https://abolitionistlawcenter.org/topics/reports/,True,False,,
https://abolitionistlawcenter.org/topics/remick-et-al-v-city-of-philadelphia/,True,False,,
https://abolitionistlawcenter.org/topics/release-from-prison/,True,False,,
https://abolitionistlawcenter.org/topics/referendums/,True,False,,
https://abolitionistlawcenter.org/topics/psychiatric-disability/,True,False,,
https://abolitionistlawcenter.org/topics/prosecutorial-misconduct/,True,False,,
https://abolitionistlawcenter.org/topics/probation/,True,False,,
https://abolitionistlawcenter.org/topics/pro-se/,True,False,,
https://abolitionistlawcenter.org/topics/prisoner-health/,True,False,,
https://abolitionistlawcenter.org/topics/prison-radio/,True,False,,
https://abolitionistlawcenter.org/topics/prison-gerrymandering-access-to-democracy/,True,False,,
https://abolitionistlawcenter.org/topics/prison-gerrymandering/,True,False,,
https://abolitionistlawcenter.org/topics/pregnancy/,True,False,,
https://abolitionistlawcenter.org/topics/pre-trial-detention/,True,False,,
https://abolitionistlawcenter.org/topics/porter-v-pa-doc-ernest-porter/,True,False,,
https://abolitionistlawcenter.org/topics/political-rights/,True,False,,
https://abolitionistlawcenter.org/topics/political-prisoner/,True,False,,
https://abolitionistlawcenter.org/topics/policing/,True,False,,
https://abolitionistlawcenter.org/topics/police-violence/,True,False,,
https://abolitionistlawcenter.org/topics/police-misconduct/,True,False,,
https://abolitionistlawcenter.org/topics/pittsburgh/,True,False,,
https://abolitionistlawcenter.org/topics/pilp-pa-institutional-law-project/,True,False,,
https://abolitionistlawcenter.org/topics/philly-jails/,True,False,,
https://abolitionistlawcenter.org/topics/philadelphia/,True,False,,
https://abolitionistlawcenter.org/topics/parole/,True,False,,
https://abolitionistlawcenter.org/topics/pa-supreme-court/,True,False,,
https://abolitionistlawcenter.org/topics/palestine/,True,False,,
https://abolitionistlawcenter.org/topics/pa-doc-dept-of-corrections/,True,False,,
https://abolitionistlawcenter.org/topics/ova-office-of-the-victim-advocate/,True,False,,
https://abolitionistlawcenter.org/topics/oc-spray/,True,False,,
https://abolitionistlawcenter.org/topics/mumia-abu-jamal/,True,False,,
https://abolitionistlawcenter.org/topics/movement-lawyering/,True,False,,
https://abolitionistlawcenter.org/topics/move/,True,False,,
https://abolitionistlawcenter.org/topics/mental-health/,True,False,,
https://abolitionistlawcenter.org/topics/medical-neglect/,True,False,,
https://abolitionistlawcenter.org/topics/mass-incarceration/,True,False,,
https://abolitionistlawcenter.org/topics/marie-mechie-scott/,True,False,,
https://abolitionistlawcenter.org/topics/long-term-sentences/,True,False,,
https://abolitionistlawcenter.org/topics/letcher-county/,True,False,,
https://abolitionistlawcenter.org/topics/lets-get-free/,True,False,,
https://abolitionistlawcenter.org/topics/leonard-peltier/,True,False,,
https://abolitionistlawcenter.org/topics/larry-krasner/,True,False,,
https://abolitionistlawcenter.org/topics/lagrotteria-v-allegheny-county/,True,False,,
https://abolitionistlawcenter.org/topics/lackawanna-county/,True,False,,
https://abolitionistlawcenter.org/topics/kimberly-andrews/,True,False,,
https://abolitionistlawcenter.org/topics/khalil-hammond/,True,False,,
https://abolitionistlawcenter.org/topics/kerry-shakaboona-marshall/,True,False,,
https://abolitionistlawcenter.org/topics/kempis-ghani-songster/,True,False,,
https://abolitionistlawcenter.org/topics/juvenile-lifers/,True,False,,
https://abolitionistlawcenter.org/topics/juvenile-justice/,True,False,,
https://abolitionistlawcenter.org/topics/judicial-misconduct/,True,False,,
https://abolitionistlawcenter.org/topics/judge-anthony-mariani/,True,False,,
https://abolitionistlawcenter.org/topics/josh-shapiro/,True,False,,
https://abolitionistlawcenter.org/topics/john-yahya-moore/,True,False,,
https://abolitionistlawcenter.org/topics/jerome-hoagie-coffey/,True,False,,
https://abolitionistlawcenter.org/topics/internships/,True,False,,
https://abolitionistlawcenter.org/topics/incarecation-prison-and-jail/,True,False,,
https://abolitionistlawcenter.org/topics/human-rights-coalition/,True,False,,
https://abolitionistlawcenter.org/topics/human-rights/,True,False,,
https://abolitionistlawcenter.org/topics/howard-v-williams/,True,False,,
https://abolitionistlawcenter.org/topics/hepatitis-c/,True,False,,
https://abolitionistlawcenter.org/topics/health-and-environmental-conditions/,True,False,,
https://abolitionistlawcenter.org/topics/gerald-thomas/,True,False,,
https://abolitionistlawcenter.org/topics/george-floyd/,True,False,,
https://abolitionistlawcenter.org/topics/geo-maher/,True,False,,
https://abolitionistlawcenter.org/topics/fundraising/,True,False,,
https://abolitionistlawcenter.org/topics/felony-murder-sentencing/,True,False,,
https://abolitionistlawcenter.org/topics/federal-civil-rights/,True,False,,
https://abolitionistlawcenter.org/topics/ezra-bozeman/,True,False,,
https://abolitionistlawcenter.org/topics/excessive-force/,True,False,,
https://abolitionistlawcenter.org/topics/environmental-justice/,True,False,,
https://abolitionistlawcenter.org/topics/dual-victims/,True,False,,
https://abolitionistlawcenter.org/topics/donate/,True,False,,
https://abolitionistlawcenter.org/topics/district-attorney/,True,False,,
https://abolitionistlawcenter.org/topics/disability-justice/,True,False,,
https://abolitionistlawcenter.org/topics/disability/,True,False,,
https://abolitionistlawcenter.org/topics/derek-lee/,True,False,,
https://abolitionistlawcenter.org/topics/defending-democracy/,True,False,,
https://abolitionistlawcenter.org/topics/death-row/,True,False,,
https://abolitionistlawcenter.org/topics/death-penalty/,True,False,,
https://abolitionistlawcenter.org/topics/death-by-incarceration/,True,False,,
https://abolitionistlawcenter.org/topics/darrick-hall/,True,False,,
https://abolitionistlawcenter.org/topics/dallas-6/,True,False,,
https://abolitionistlawcenter.org/topics/covid-19/,True,False,,
https://abolitionistlawcenter.org/topics/court-watch/,True,False,,
https://abolitionistlawcenter.org/topics/court/,True,False,,
https://abolitionistlawcenter.org/topics/conviction-integrity-unit/,True,False,,
https://abolitionistlawcenter.org/topics/conditions-of-confinement/,True,False,,
https://abolitionistlawcenter.org/topics/compassionate-release/,True,False,,
https://abolitionistlawcenter.org/topics/commutation/,True,False,,
https://abolitionistlawcenter.org/topics/clayton-mccray/,True,False,,
https://abolitionistlawcenter.org/topics/civil-rights-corps/,True,False,,
https://abolitionistlawcenter.org/topics/center-for-constitutional-rights/,True,False,,
https://abolitionistlawcenter.org/topics/censorship-of-prisoners/,True,False,,
https://abolitionistlawcenter.org/topics/censorship/,True,False,,
https://abolitionistlawcenter.org/topics/cash-bail/,True,False,,
https://abolitionistlawcenter.org/topics/campaign-to-fight-toxic-prisons/,True,False,,
https://abolitionistlawcenter.org/topics/brandon-palakovic/,True,False,,
https://abolitionistlawcenter.org/topics/bradford-gamble/,True,False,,
https://abolitionistlawcenter.org/topics/blak-rapp-medusa/,True,False,,
https://abolitionistlawcenter.org/topics/black-philly-radical-collective/,True,False,,
https://abolitionistlawcenter.org/topics/bell-v-little/,True,False,,
https://abolitionistlawcenter.org/topics/avis-lee/,True,False,,
https://abolitionistlawcenter.org/topics/arthur-cetewayo-johnson/,True,False,,
https://abolitionistlawcenter.org/topics/arrest/,True,False,,
https://abolitionistlawcenter.org/topics/anthony-talotta/,True,False,,
https://abolitionistlawcenter.org/topics/andrews-v-harper-andrews-v-allegheny-county/,True,False,,
https://abolitionistlawcenter.org/topics/amistad-law-project/,True,False,,
https://abolitionistlawcenter.org/topics/allegheny-county-jail-oversight-board/,True,False,,
https://abolitionistlawcenter.org/topics/allegheny-county-jail/,True,False,,
https://abolitionistlawcenter.org/topics/allegheny-county/,True,False,,
https://abolitionistlawcenter.org/topics/alc-newsletter/,True,False,,
https://abolitionistlawcenter.org/topics/alc-events/,True,False,,
https://abolitionistlawcenter.org/topics/alc-10th-anniversary/,True,False,,
https://abolitionistlawcenter.org/topics/aging-in-prison/,True,False,,
https://abolitionistlawcenter.org/topics/ada-americans-with-disabilities-act/,True,False,,
https://abolitionistlawcenter.org/topics/act-40/,True,False,,
https://abolitionistlawcenter.org/topics/aclu-of-pa/,True,False,,
https://abolitionistlawcenter.org/topics/abolition/,True,False,,
https://abolitionistlawcenter.org/topics/8th-amendement/,True,False,,
https://abolitionistlawcenter.org/topics/14th-amendment/,True,False,,
https://abolitionistlawcenter.org/support-us/,True,False,,
https://abolitionistlawcenter.org/contact-us/,True,False,,
https://abolitionistlawcenter.org/category/media-coverage/,True,False,,
https://abolitionistlawcenter.org/category/press-releases/,True,False,,
https://abolitionistlawcenter.org/press-room/,True,False,,
https://abolitionistlawcenter.org/events/,True,False,,
https://abolitionistlawcenter.org/category/news-updates/,True,False,,
https://abolitionistlawcenter.org/fiscally-sponsored-projects/,True,False,,
https://abolitionistlawcenter.org/coalitional-campaigns/,True,False,,
https://abolitionistlawcenter.org/reports/,True,False,,
https://abolitionistlawcenter.org/court-watch/,True,False,,
https://abolitionistlawcenter.org/litigation/foia-right-to-know-requests/,True,False,,
https://abolitionistlawcenter.org/litigation/completed-cases/,True,False,,
https://abolitionistlawcenter.org/litigation/current-cases/,True,False,,
